epoch,acc,cat_acc,dice_coef,f1_m,iou_coef,jacard_coef,loss,precision_m,recall_m,subset_accuracy,val_acc,val_cat_acc,val_dice_coef,val_f1_m,val_iou_coef,val_jacard_coef,val_loss,val_precision_m,val_recall_m,val_subset_accuracy
0,0.5601693,0.5601693,0.120579906,0.22896858,-0.09152706,0.069734745,0.05051856482413979,0.6612747,0.15810792,0.8437435,0.6487942,0.6487942,0.075801775,0.3718662,-0.09068531,0.046413444,0.03344171364576771,0.8009594,0.2708151,0.8591221
1,0.67615134,0.67615134,0.056979865,0.3589601,-0.08923855,0.035463735,0.031112296159077665,0.8036877,0.27507377,0.8611664,0.7087723,0.7087723,0.04893163,0.38819358,-0.08181198,0.031069554,0.02533556019099286,0.87973404,0.29477012,0.86269766
2,0.7359634,0.7359634,0.0204082,0.42207226,-0.08258991,0.014987065,0.02356628942574549,0.8725987,0.331067,0.8682611,0.74193054,0.74193054,0.014740291,0.46550828,-0.08162356,0.012957995,0.022927382671668266,0.91022766,0.36759853,0.87566817
3,0.7650116,0.7650116,-0.0033987581,0.47027192,-0.08010777,0.002319858,0.021318773143916746,0.9074596,0.37396654,0.87541,0.7552622,0.7552622,0.0039862837,0.4870683,-0.079958886,0.0064428956,0.02143454956016145,0.9123517,0.38506117,0.8776534
4,0.7823189,0.7823189,-0.019237798,0.50134236,-0.07924964,-0.005883009,0.01982615849160312,0.9265671,0.40062705,0.8801109,0.7488543,0.7488543,0.01643893,0.44575903,-0.07388813,0.011823646,0.021927190745750873,0.9151363,0.34125483,0.867515
5,0.7938006,0.7938006,-0.030521197,0.521398,-0.078661464,-0.011611437,0.01901468941026369,0.9320243,0.41979054,0.88320583,0.781269,0.781269,-0.0066783847,0.48654175,-0.07236639,1.2819813e-05,0.019402632062645774,0.9331632,0.38254607,0.87435466
6,0.8074171,0.8074171,-0.043482684,0.5489762,-0.07849942,-0.017956885,0.017698990418128554,0.9454964,0.44346595,0.8874195,0.7651284,0.7651284,0.00032312365,0.4629158,-0.072603606,0.003396243,0.020013505052058744,0.93579733,0.35402983,0.87108445
7,0.812226,0.812226,-0.048576012,0.5564872,-0.078330554,-0.020516405,0.01711170627519005,0.94910175,0.4510152,0.8892237,0.793035,0.793035,-0.030044544,0.53875566,-0.076768376,-0.0115595525,0.01816171928613375,0.9482066,0.42402545,0.8832617
8,0.8319618,0.8319618,-0.07122197,0.60169446,-0.08002202,-0.03145504,0.015506538610327905,0.95966285,0.49227977,0.89696854,0.75959355,0.75959355,-0.007892143,0.48838738,-0.075481765,3.3466633e-05,0.020622251838750133,0.9398671,0.3821674,0.8763033
9,0.8389729,0.8389729,-0.07839588,0.61690557,-0.080169454,-0.034910902,0.014878444808534274,0.96447843,0.50638777,0.8995935,0.8173656,0.8173656,-0.06403955,0.61003995,-0.08078486,-0.028331313,0.016800316157661234,0.9518973,0.49197236,0.8961986
10,0.84502417,0.84502417,-0.08658126,0.6357025,-0.08105013,-0.03878426,0.014352929549281081,0.9654998,0.5244786,0.90304077,0.8116254,0.8116254,-0.07735889,0.6276214,-0.084689945,-0.034197826,0.017111868011684586,0.9486748,0.5147273,0.90106165
11,0.8608835,0.8608835,-0.10582099,0.67616427,-0.0837265,-0.047843374,0.012984826756922049,0.97450614,0.5641435,0.9103996,0.8231222,0.8231222,-0.1017001,0.66174424,-0.09047386,-0.04582382,0.017186681399695,0.9415496,0.5469513,0.9075027
12,0.8726268,0.8726268,-0.12289424,0.7100013,-0.08667439,-0.05553516,0.011885416581330082,0.9783121,0.5976593,0.91701674,0.7833279,0.7833279,-0.07481592,0.63812566,-0.08895417,-0.031627268,0.019888938063657127,0.9072068,0.5266015,0.9040402
